,Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp,Charge,Total Charge,Charge Density,Charge Integral,Anodal Charge Integral,Cathodal Charge Integral,Anodal Charge Storage Capacity,Cathodal Charge Storage Capacity,Date,Time,Site
1606,446,89.4,7.00025E-002,1.48891e-10,0.00000E+000,7.00000E-002,9.96922E-004,4,..........a,-327.66,2.979405958811918e-08,-8.69680882161764e-06,-0.434840441080882,0.0014897029794059588,0.0014897029794059588,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1607,447,89.6,8.00787E-002,1.48286e-10,0.00000E+000,8.00000E-002,9.99522E-004,4,..........a,-327.66,2.9717759435518872e-08,-8.667091062182121e-06,-0.43335455310910603,0.0014858879717759435,0.0014858879717759435,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1608,448,89.8,9.00737E-002,1.55242e-10,0.00000E+000,9.00000E-002,9.99322E-004,4,..........a,-327.66,3.035286070572141e-08,-8.636738201476399e-06,-0.4318369100738199,0.0015176430352860704,0.0015176430352860704,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1609,449,90,1.00023E-001,1.51076e-10,0.00000E+000,1.00000E-001,1.01122E-003,4,..........a,-327.66,3.0631861263722535e-08,-8.606106340212676e-06,-0.43030531701063374,0.0015315930631861266,0.0015315930631861266,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1610,450,90.2,1.10027E-001,1.52901e-10,0.00000E+000,1.10000E-001,9.84922E-004,4,..........a,-327.66,3.039776079552159e-08,-8.575708579417153e-06,-0.42878542897085764,0.0015198880397760796,0.0015198880397760796,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1611,451,90.4,1.20082E-001,1.51102e-10,0.00000E+000,1.20000E-001,1.00902E-003,4,..........a,-327.66,3.040036080072161e-08,-8.545308218616432e-06,-0.42726541093082154,0.0015200180400360803,0.0015200180400360803,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1612,452,90.6,1.30099E-001,1.51749e-10,0.00000E+000,1.30000E-001,9.92022E-004,4,..........a,-327.66,3.028516057032115e-08,-8.515023058046111e-06,-0.42575115290230553,0.0015142580285160572,0.0015142580285160572,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1613,453,90.8,1.40096E-001,1.59336e-10,0.00000E+000,1.40000E-001,9.94922E-004,4,..........a,-327.66,3.110856221712444e-08,-8.483914495828986e-06,-0.4241957247914493,0.0015554281108562217,0.0015554281108562217,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1614,454,91,1.49954E-001,1.58705e-10,0.00000E+000,1.50000E-001,1.01652E-003,4,..........a,-327.66,3.180416360832722e-08,-8.45211033222066e-06,-0.42260551661103296,0.0015902081804163607,0.0015902081804163607,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1615,455,91.2,1.60040E-001,1.56218e-10,0.00000E+000,1.60000E-001,9.92322E-004,4,..........a,-327.66,3.149236298472597e-08,-8.420617969235934e-06,-0.42103089846179664,0.0015746181492362985,0.0015746181492362985,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1616,456,91.4,1.70091E-001,1.5942e-10,0.00000E+000,1.70000E-001,9.89922E-004,4,..........a,-327.66,3.156386312772626e-08,-8.389054106108208e-06,-0.4194527053054104,0.0015781931563863128,0.0015781931563863128,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1617,457,91.6,1.80100E-001,1.64362e-10,0.00000E+000,1.80000E-001,1.00092E-003,4,..........a,-327.66,3.2378264756529514e-08,-8.35667584135168e-06,-0.4178337920675839,0.0016189132378264756,0.0016189132378264756,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1618,458,91.8,1.90081E-001,1.67196e-10,0.00000E+000,1.90000E-001,1.01402E-003,4,..........a,-327.66,3.315586631173263e-08,-8.323519975039947e-06,-0.41617599875199734,0.0016577933155866313,0.0016577933155866313,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1619,459,92,2.00071E-001,1.69189e-10,0.00000E+000,2.00000E-001,1.00222E-003,4,..........a,-327.66,3.3638567277134554e-08,-8.289881407762812e-06,-0.41449407038814057,0.0016819283638567276,0.0016819283638567276,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1620,460,92.2,2.10019E-001,1.72158e-10,0.00000E+000,2.10000E-001,9.86122E-004,4,..........a,-327.66,3.4134768269536544e-08,-8.255746639493275e-06,-0.4127873319746637,0.0017067384134768272,0.0017067384134768272,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1621,461,92.4,2.19840E-001,1.75712e-10,0.00000E+000,2.20000E-001,1.00832E-003,4,..........a,-327.66,3.478706957413915e-08,-8.220959569919137e-06,-0.4110479784959568,0.0017393534787069574,0.0017393534787069574,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
