,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Date,Site
1419,16,18:36:28,2527.573,5084.397,-2675.916,1,5745.574,-27.75781,5.708845E-009,-1.092443E-005,6,2024-04-24,E09
1420,17,18:36:28,1976.103,5446.866,-2819.595,1,6133.39,-27.36855,5.81089E-009,-1.169242E-005,6,2024-04-24,E09
1421,18,18:36:28,1577.524,5773.033,-2973.165,1,6493.66,-27.24888,6.521613E-009,-1.076732E-005,6,2024-04-24,E09
1422,19,18:36:28,1265.625,6087.631,-3168.711,1,6862.943,-27.49771,5.205347E-009,-1.451186E-005,6,2024-04-24,E09
1423,20,18:36:28,998.264,6423.051,-3434.672,1,7283.718,-28.13527,5.929575E-009,-7.758936E-006,6,2024-04-24,E09
1424,21,18:36:28,796.875,6743.151,-3747.815,1,7714.674,-29.06512,5.351464E-009,-9.707179E-006,6,2024-04-24,E09
1425,22,18:36:28,627.7902,7090.572,-4177.486,1,8229.679,-30.50492,5.698467E-009,-8.321374E-006,6,2024-04-24,E09
1426,23,18:36:28,505.5147,7414.028,-4667.003,1,8760.636,-32.18971,4.737323E-009,-1.214504E-005,6,2024-04-24,E09
1427,24,18:36:28,397.9953,7795.614,-5341.46,1,9450.016,-34.41847,4.73529E-009,-1.238377E-005,6,2024-04-24,E09
1428,25,18:36:28,315.5048,8197.871,-6159.219,1,10253.83,-36.91824,4.653249E-009,-1.649916E-005,6,2024-04-24,E09
1429,26,18:36:28,252.4038,8625.539,-7127.142,1,11189.11,-39.56637,4.713255E-009,-1.668891E-005,6,2024-04-24,E09
1430,27,18:36:28,198.6229,9141.169,-8400.395,1,12414.81,-42.58186,4.661272E-009,-1.629825E-005,6,2024-04-24,E09
1431,28,18:36:28,158.3615,9691.48,-9872.62,1,13834.5,-45.53046,4.74227E-009,-1.302476E-005,6,2024-04-24,E09
1432,29,18:36:28,125.558,10333.3,-11707.61,1,15615.54,-48.56792,4.70179E-009,-1.438476E-005,6,2024-04-24,E09
1433,30,18:36:28,100.4464,11037.05,-13844.22,1,17705.34,-51.43704,4.764368E-009,-1.175778E-005,6,2024-04-24,E09
1434,31,18:36:28,79.00281,11898.35,-16648.69,1,20463.38,-54.44767,4.725208E-009,-1.567525E-005,6,2024-04-24,E09
1435,32,18:36:28,63.3446,12803.19,-19784.43,1,23565.77,-57.0917,4.825122E-009,-1.279807E-005,6,2024-04-24,E09
1436,33,18:36:28,49.86702,13922.08,-23933.4,1,27688.11,-59.8134,4.773181E-009,-1.100822E-005,6,2024-04-24,E09
1437,34,18:36:28,39.72458,15121.74,-28752.93,1,32486.89,-62.25922,4.699564E-009,-1.536244E-005,6,2024-04-24,E09
1438,35,18:36:28,31.6723,16479.2,-34624.56,1,38346.11,-64.54838,4.736146E-009,-1.253418E-005,6,2024-04-24,E09
1439,36,18:36:28,24.93351,18121.52,-42263.04,1,45984.28,-66.79134,3.935712E-009,-2.114679E-005,5,2024-04-24,E09
1440,37,18:36:28,19.86229,19849.77,-51197.84,1,54911.13,-68.80833,3.342167E-009,4.711261E-005,5,2024-04-24,E09
1441,38,18:36:28,15.83615,21988.27,-62222.4,1,65993.27,-70.53751,3.397638E-009,4.670239E-005,5,2024-04-24,E09
1442,39,18:36:28,12.40079,24823.7,-77058.34,1,80958.03,-72.14409,3.425214E-009,4.944125E-005,5,2024-04-24,E09
1443,40,18:36:28,9.93114,28075.65,-93711.38,1,97826.7,-73.32194,3.548283E-009,4.702784E-005,5,2024-04-24,E09
1444,41,18:36:28,7.944915,32189.56,-114201.3,1,118651.2,-74.25861,3.561969E-009,4.798552E-005,5,2024-04-24,E09
1445,42,18:36:28,6.317385,37694.38,-139990.7,1,144976.8,-74.92977,3.596012E-009,4.847963E-005,5,2024-04-24,E09
1446,43,18:36:28,5.008013,44934.58,-171960,1,177733.9,-75.35559,3.601426E-009,4.989588E-005,5,2024-04-24,E09
1447,44,18:36:28,3.945707,54688.39,-212108.4,1,219045.2,-75.54218,3.593914E-009,4.769219E-005,5,2024-04-24,E09
1448,45,18:36:28,3.158693,66575.76,-257674.4,1,266136.1,-75.51321,3.597397E-009,4.984416E-005,5,2024-04-24,E09
1449,46,18:36:28,2.504006,83129.01,-315634.2,1,326397.5,-75.245,3.608019E-009,5.050371E-005,5,2024-04-24,E09
1450,47,18:36:28,1.998082,103521,-382967.2,1,396712,-74.87371,3.595709E-009,5.546198E-005,5,2024-04-24,E09
